Small Cup : 100 // 50
Large Cup : 120 // 60
Starting out with Budget =  100
 N = 1, Offered_price = 100.00, result=1, Small=100, 
 N = 2, Offered_price = 101.05, result=1, Small=100, 
 N = 3, Offered_price = 102.11, result=1, Small=100, 
 N = 4, Offered_price = 103.16, result=1, Small=100, 
 N = 5, Offered_price = 104.21, result=1, Small=100, 
 N = 6, Offered_price = 105.26, result=1, Small=100, 
 N = 7, Offered_price = 106.32, result=1, Small=100, 
 N = 8, Offered_price = 107.37, result=1, Small=100, 
 N = 9, Offered_price = 108.42, result=0, Small=99, 
 N = 10, Offered_price = 109.47, result=1, Small=99, 
 N = 11, Offered_price = 110.53, result=1, Small=99, 
 N = 12, Offered_price = 111.58, result=0, Small=98, 
 N = 13, Offered_price = 112.63, result=0, Small=97, 
 N = 14, Offered_price = 113.68, result=0, Small=96, 
 N = 15, Offered_price = 114.74, result=0, Small=95, 
 N = 16, Offered_price = 115.79, result=1, Small=95, 
 N = 17, Offered_price = 116.84, result=1, Small=95, 
 N = 18, Offered_price = 117.89, result=0, Small=94, 
 N = 19, Offered_price = 118.95, result=0, Small=93, 
 N = 20, Offered_price = 120.00, result=0, Small=92, 
 N = 21, Offered_price = 116.84, result=0, Small=91, 
 N = 22, Offered_price = 116.84, result=0, Small=90, 
 N = 23, Offered_price = 116.84, result=0, Small=89, 
 N = 24, Offered_price = 116.84, result=0, Small=88, 
 N = 25, Offered_price = 116.84, result=0, Small=87, 
 N = 26, Offered_price = 116.84, result=0, Small=86, 
 N = 27, Offered_price = 116.84, result=0, Small=85, 
 N = 28, Offered_price = 116.84, result=0, Small=84, 
 N = 29, Offered_price = 116.84, result=0, Small=83, 
 N = 30, Offered_price = 116.84, result=0, Small=82, 
 N = 31, Offered_price = 116.84, result=0, Small=81, 
 N = 32, Offered_price = 116.84, result=0, Small=80, 
 N = 33, Offered_price = 116.84, result=0, Small=79, 
 N = 34, Offered_price = 116.84, result=1, Small=79, 
 N = 35, Offered_price = 116.84, result=0, Small=78, 
 N = 36, Offered_price = 115.79, result=0, Small=77, 
 N = 37, Offered_price = 116.84, result=0, Small=76, 
 N = 38, Offered_price = 116.84, result=0, Small=75, 
 N = 39, Offered_price = 116.84, result=0, Small=74, 
 N = 40, Offered_price = 116.84, result=0, Small=73, 
 N = 41, Offered_price = 115.79, result=0, Small=72, 
 N = 42, Offered_price = 116.84, result=0, Small=71, 
 N = 43, Offered_price = 116.84, result=0, Small=70, 
 N = 44, Offered_price = 116.84, result=0, Small=69, 
 N = 45, Offered_price = 116.84, result=0, Small=68, 
 N = 46, Offered_price = 115.79, result=0, Small=67, 
 N = 47, Offered_price = 116.84, result=0, Small=66, 
 N = 48, Offered_price = 116.84, result=0, Small=65, 
 N = 49, Offered_price = 116.84, result=0, Small=64, 
 N = 50, Offered_price = 115.79, result=1, Small=64, 
 N = 51, Offered_price = 116.84, result=0, Small=63, 
 N = 52, Offered_price = 116.84, result=0, Small=62, 
 N = 53, Offered_price = 115.79, result=0, Small=61, 
 N = 54, Offered_price = 116.84, result=0, Small=60, 
 N = 55, Offered_price = 116.84, result=0, Small=59, 
 N = 56, Offered_price = 116.84, result=0, Small=58, 
 N = 57, Offered_price = 115.79, result=0, Small=57, 
 N = 58, Offered_price = 116.84, result=0, Small=56, 
 N = 59, Offered_price = 116.84, result=0, Small=55, 
 N = 60, Offered_price = 116.84, result=0, Small=54, 
 N = 61, Offered_price = 115.79, result=0, Small=53, 
 N = 62, Offered_price = 116.84, result=1, Small=53, 
 N = 63, Offered_price = 116.84, result=0, Small=52, 
 N = 64, Offered_price = 115.79, result=0, Small=51, 
 N = 65, Offered_price = 116.84, result=0, Small=50, 
 N = 66, Offered_price = 116.84, result=0, Small=49, 
 N = 67, Offered_price = 115.79, result=0, Small=48, 
 N = 68, Offered_price = 116.84, result=0, Small=47, 
 N = 69, Offered_price = 116.84, result=0, Small=46, 
