 N = 0, Offered_price = 100.00, result=1, Small=100, Regret=1.00, Budget=1
 N = 1, Offered_price = 105.26, result=1, Small=100, Regret=1.95, Budget=1
 N = 2, Offered_price = 110.53, result=1, Small=100, Regret=2.84, Budget=1
 N = 3, Offered_price = 115.79, result=1, Small=100, Regret=3.68, Budget=1
 N = 4, Offered_price = 121.05, result=1, Small=100, Regret=4.47, Budget=1
 N = 5, Offered_price = 126.32, result=1, Small=100, Regret=5.21, Budget=1
 N = 6, Offered_price = 131.58, result=1, Small=100, Regret=5.89, Budget=1
 N = 7, Offered_price = 136.84, result=1, Small=100, Regret=6.53, Budget=1
 N = 8, Offered_price = 142.11, result=0, Small=99, Regret=7.53, Budget=1
 N = 9, Offered_price = 147.37, result=1, Small=99, Regret=8.05, Budget=1
 N = 10, Offered_price = 152.63, result=1, Small=99, Regret=8.53, Budget=1
 N = 11, Offered_price = 157.89, result=0, Small=98, Regret=9.53, Budget=1
 N = 12, Offered_price = 163.16, result=0, Small=97, Regret=10.53, Budget=1
 N = 13, Offered_price = 168.42, result=0, Small=96, Regret=11.53, Budget=1
 N = 14, Offered_price = 173.68, result=0, Small=95, Regret=12.53, Budget=1
 N = 15, Offered_price = 178.95, result=1, Small=95, Regret=12.74, Budget=1
 N = 16, Offered_price = 184.21, result=1, Small=95, Regret=12.89, Budget=1
 N = 17, Offered_price = 189.47, result=0, Small=94, Regret=13.89, Budget=1
 N = 18, Offered_price = 194.74, result=0, Small=93, Regret=14.89, Budget=1
 N = 19, Offered_price = 200.00, result=0, Small=92, Regret=15.89, Budget=1
 N = 20, Offered_price = 184.21, result=0, Small=91, Regret=16.89, Budget=1
 N = 21, Offered_price = 142.11, result=0, Small=90, Regret=17.89, Budget=1
 N = 22, Offered_price = 157.89, result=0, Small=89, Regret=18.89, Budget=1
 N = 23, Offered_price = 163.16, result=1, Small=89, Regret=19.26, Budget=1
 N = 24, Offered_price = 168.42, result=0, Small=88, Regret=20.26, Budget=1
 N = 25, Offered_price = 173.68, result=0, Small=87, Regret=21.26, Budget=1
 N = 26, Offered_price = 189.47, result=0, Small=86, Regret=22.26, Budget=1
 N = 27, Offered_price = 194.74, result=0, Small=85, Regret=23.26, Budget=1
 N = 28, Offered_price = 200.00, result=0, Small=84, Regret=24.26, Budget=1
 N = 29, Offered_price = 184.21, result=0, Small=83, Regret=25.26, Budget=1
 N = 30, Offered_price = 142.11, result=0, Small=82, Regret=26.26, Budget=1
 N = 31, Offered_price = 157.89, result=0, Small=81, Regret=27.26, Budget=1
 N = 32, Offered_price = 168.42, result=1, Small=81, Regret=27.58, Budget=1
 N = 33, Offered_price = 173.68, result=1, Small=81, Regret=27.84, Budget=1
 N = 34, Offered_price = 189.47, result=0, Small=80, Regret=28.84, Budget=1
 N = 35, Offered_price = 194.74, result=0, Small=79, Regret=29.84, Budget=1
 N = 36, Offered_price = 200.00, result=0, Small=78, Regret=30.84, Budget=1
 N = 37, Offered_price = 184.21, result=0, Small=77, Regret=31.84, Budget=1
 N = 38, Offered_price = 142.11, result=1, Small=77, Regret=32.42, Budget=1
 N = 39, Offered_price = 157.89, result=1, Small=77, Regret=32.84, Budget=1
 N = 40, Offered_price = 189.47, result=0, Small=76, Regret=33.84, Budget=1
 N = 41, Offered_price = 194.74, result=0, Small=75, Regret=34.84, Budget=1
 N = 42, Offered_price = 200.00, result=0, Small=74, Regret=35.84, Budget=1
 N = 43, Offered_price = 184.21, result=0, Small=73, Regret=36.84, Budget=1
 N = 44, Offered_price = 173.68, result=1, Small=73, Regret=37.11, Budget=1
 N = 45, Offered_price = 189.47, result=0, Small=72, Regret=38.11, Budget=1
 N = 46, Offered_price = 194.74, result=0, Small=71, Regret=39.11, Budget=1
 N = 47, Offered_price = 200.00, result=0, Small=70, Regret=40.11, Budget=1
 N = 48, Offered_price = 184.21, result=0, Small=69, Regret=41.11, Budget=1
 N = 49, Offered_price = 168.42, result=1, Small=69, Regret=41.42, Budget=1
 N = 50, Offered_price = 189.47, result=0, Small=68, Regret=42.42, Budget=1
 N = 51, Offered_price = 194.74, result=0, Small=67, Regret=43.42, Budget=1
 N = 52, Offered_price = 200.00, result=0, Small=66, Regret=44.42, Budget=1
 N = 53, Offered_price = 184.21, result=0, Small=65, Regret=45.42, Budget=1
 N = 54, Offered_price = 189.47, result=0, Small=64, Regret=46.42, Budget=1
 N = 55, Offered_price = 194.74, result=0, Small=63, Regret=47.42, Budget=1
 N = 56, Offered_price = 200.00, result=0, Small=62, Regret=48.42, Budget=1
 N = 57, Offered_price = 173.68, result=0, Small=61, Regret=49.42, Budget=1
 N = 58, Offered_price = 184.21, result=0, Small=60, Regret=50.42, Budget=1
 N = 59, Offered_price = 173.68, result=0, Small=59, Regret=51.42, Budget=1
 N = 60, Offered_price = 157.89, result=0, Small=58, Regret=52.42, Budget=1
 N = 61, Offered_price = 189.47, result=1, Small=58, Regret=52.53, Budget=1
 N = 62, Offered_price = 194.74, result=0, Small=57, Regret=53.53, Budget=1
 N = 63, Offered_price = 200.00, result=0, Small=56, Regret=54.53, Budget=1
 N = 64, Offered_price = 157.89, result=0, Small=55, Regret=55.53, Budget=1
 N = 65, Offered_price = 189.47, result=0, Small=54, Regret=56.53, Budget=1
 N = 66, Offered_price = 173.68, result=0, Small=53, Regret=57.53, Budget=1
 N = 67, Offered_price = 184.21, result=0, Small=52, Regret=58.53, Budget=1
 N = 68, Offered_price = 157.89, result=0, Small=51, Regret=59.53, Budget=1
 N = 69, Offered_price = 194.74, result=0, Small=50, Regret=60.53, Budget=1
 N = 70, Offered_price = 200.00, result=0, Small=49, Regret=61.53, Budget=1
 N = 71, Offered_price = 173.68, result=0, Small=48, Regret=62.53, Budget=1
 N = 72, Offered_price = 163.16, result=0, Small=47, Regret=63.53, Budget=1
 N = 73, Offered_price = 163.16, result=0, Small=46, Regret=64.53, Budget=1
 N = 74, Offered_price = 163.16, result=1, Small=46, Regret=64.89, Budget=1
 N = 75, Offered_price = 189.47, result=0, Small=45, Regret=65.89, Budget=1
 N = 76, Offered_price = 184.21, result=0, Small=44, Regret=66.89, Budget=1
 N = 77, Offered_price = 157.89, result=0, Small=43, Regret=67.89, Budget=1
 N = 78, Offered_price = 194.74, result=0, Small=42, Regret=68.89, Budget=1
 N = 79, Offered_price = 200.00, result=0, Small=41, Regret=69.89, Budget=1
 N = 80, Offered_price = 173.68, result=1, Small=41, Regret=70.16, Budget=1
 N = 81, Offered_price = 168.42, result=0, Small=40, Regret=71.16, Budget=1
 N = 82, Offered_price = 168.42, result=1, Small=40, Regret=71.47, Budget=1
 N = 83, Offered_price = 189.47, result=0, Small=39, Regret=72.47, Budget=1
 N = 84, Offered_price = 157.89, result=1, Small=39, Regret=72.89, Budget=1
 N = 85, Offered_price = 142.11, result=1, Small=39, Regret=73.47, Budget=1
 N = 86, Offered_price = 184.21, result=0, Small=38, Regret=74.47, Budget=1
 N = 87, Offered_price = 194.74, result=0, Small=37, Regret=75.47, Budget=1
 N = 88, Offered_price = 200.00, result=0, Small=36, Regret=76.47, Budget=1
 N = 89, Offered_price = 163.16, result=1, Small=36, Regret=76.84, Budget=1
 N = 90, Offered_price = 189.47, result=0, Small=35, Regret=77.84, Budget=1
 N = 91, Offered_price = 173.68, result=0, Small=34, Regret=78.84, Budget=1
 N = 92, Offered_price = 184.21, result=1, Small=34, Regret=79.00, Budget=1
 N = 93, Offered_price = 194.74, result=0, Small=33, Regret=80.00, Budget=1
 N = 94, Offered_price = 200.00, result=0, Small=32, Regret=81.00, Budget=1
 N = 95, Offered_price = 189.47, result=0, Small=31, Regret=82.00, Budget=1
 N = 96, Offered_price = 184.21, result=0, Small=30, Regret=83.00, Budget=1
 N = 97, Offered_price = 173.68, result=0, Small=29, Regret=84.00, Budget=1
 N = 98, Offered_price = 168.42, result=0, Small=28, Regret=85.00, Budget=1
 N = 99, Offered_price = 168.42, result=0, Small=27, Regret=86.00, Budget=1
 N = 100, Offered_price = 168.42, result=0, Small=26, Regret=87.00, Budget=1
 N = 101, Offered_price = 194.74, result=0, Small=25, Regret=88.00, Budget=1
 N = 102, Offered_price = 200.00, result=0, Small=24, Regret=89.00, Budget=1
 N = 103, Offered_price = 168.42, result=0, Small=23, Regret=90.00, Budget=1
 N = 104, Offered_price = 173.68, result=0, Small=22, Regret=91.00, Budget=1
 N = 105, Offered_price = 189.47, result=0, Small=21, Regret=92.00, Budget=1
 N = 106, Offered_price = 184.21, result=0, Small=20, Regret=93.00, Budget=1
 N = 107, Offered_price = 157.89, result=1, Small=20, Regret=93.42, Budget=1
 N = 108, Offered_price = 168.42, result=0, Small=19, Regret=94.42, Budget=1
 N = 109, Offered_price = 194.74, result=0, Small=18, Regret=95.42, Budget=1
 N = 110, Offered_price = 200.00, result=0, Small=17, Regret=96.42, Budget=1
 N = 111, Offered_price = 173.68, result=1, Small=17, Regret=96.68, Budget=1
 N = 112, Offered_price = 189.47, result=0, Small=16, Regret=97.68, Budget=1
 N = 113, Offered_price = 184.21, result=0, Small=15, Regret=98.68, Budget=1
 N = 114, Offered_price = 168.42, result=0, Small=14, Regret=99.68, Budget=1
 N = 115, Offered_price = 194.74, result=0, Small=13, Regret=100.68, Budget=1
 N = 116, Offered_price = 200.00, result=0, Small=12, Regret=101.68, Budget=1
 N = 117, Offered_price = 168.42, result=0, Small=11, Regret=102.68, Budget=1
 N = 118, Offered_price = 189.47, result=1, Small=11, Regret=102.79, Budget=1
 N = 119, Offered_price = 184.21, result=0, Small=10, Regret=103.79, Budget=1
 N = 120, Offered_price = 173.68, result=0, Small=9, Regret=104.79, Budget=1
 N = 121, Offered_price = 194.74, result=1, Small=9, Regret=104.84, Budget=1
 N = 122, Offered_price = 200.00, result=0, Small=8, Regret=105.84, Budget=1
 N = 123, Offered_price = 189.47, result=0, Small=7, Regret=106.84, Budget=1
 N = 124, Offered_price = 168.42, result=0, Small=6, Regret=107.84, Budget=1
 N = 125, Offered_price = 194.74, result=0, Small=5, Regret=108.84, Budget=1
 N = 126, Offered_price = 184.21, result=0, Small=4, Regret=109.84, Budget=1
 N = 127, Offered_price = 163.16, result=0, Small=3, Regret=110.84, Budget=1
 N = 128, Offered_price = 163.16, result=0, Small=2, Regret=111.84, Budget=1
 N = 129, Offered_price = 163.16, result=0, Small=1, Regret=112.84, Budget=1
 N = 130, Offered_price = 163.16, result=0, Small=0, Regret=113.84, Budget=1
 N = 131, Offered_price = 100.00, result=1, Small=0, Regret=114.84, Budget=0
 N = 132, Offered_price = 100.00, result=1, Small=0, Regret=115.84, Budget=0
 N = 133, Offered_price = 100.00, result=1, Small=0, Regret=116.84, Budget=0
 N = 134, Offered_price = 100.00, result=1, Small=0, Regret=117.84, Budget=0
 N = 135, Offered_price = 100.00, result=1, Small=0, Regret=118.84, Budget=0
 N = 136, Offered_price = 100.00, result=1, Small=0, Regret=119.84, Budget=0
 N = 137, Offered_price = 100.00, result=1, Small=0, Regret=120.84, Budget=0
 N = 138, Offered_price = 100.00, result=1, Small=0, Regret=121.84, Budget=0
 N = 139, Offered_price = 100.00, result=1, Small=0, Regret=122.84, Budget=0
 N = 140, Offered_price = 100.00, result=1, Small=0, Regret=123.84, Budget=0
 N = 141, Offered_price = 100.00, result=1, Small=0, Regret=124.84, Budget=0
 N = 142, Offered_price = 100.00, result=1, Small=0, Regret=125.84, Budget=0
 N = 143, Offered_price = 100.00, result=1, Small=0, Regret=126.84, Budget=0
 N = 144, Offered_price = 100.00, result=1, Small=0, Regret=127.84, Budget=0
 N = 145, Offered_price = 100.00, result=1, Small=0, Regret=128.84, Budget=0
 N = 146, Offered_price = 100.00, result=1, Small=0, Regret=129.84, Budget=0
 N = 147, Offered_price = 100.00, result=1, Small=0, Regret=130.84, Budget=0
 N = 148, Offered_price = 100.00, result=1, Small=0, Regret=131.84, Budget=0
 N = 149, Offered_price = 100.00, result=1, Small=0, Regret=132.84, Budget=0
 N = 150, Offered_price = 100.00, result=1, Small=0, Regret=133.84, Budget=0
 N = 151, Offered_price = 100.00, result=1, Small=0, Regret=134.84, Budget=0
 N = 152, Offered_price = 100.00, result=1, Small=0, Regret=135.84, Budget=0
 N = 153, Offered_price = 100.00, result=1, Small=0, Regret=136.84, Budget=0
 N = 154, Offered_price = 100.00, result=1, Small=0, Regret=137.84, Budget=0
 N = 155, Offered_price = 100.00, result=1, Small=0, Regret=138.84, Budget=0
 N = 156, Offered_price = 100.00, result=1, Small=0, Regret=139.84, Budget=0
 N = 157, Offered_price = 100.00, result=1, Small=0, Regret=140.84, Budget=0
