 N = 0, Offered_price = 100.00, result=1, Small=100, Regret=1.00, Budget=1
 N = 1, Offered_price = 105.26, result=1, Small=100, Regret=1.95, Budget=1
 N = 2, Offered_price = 110.53, result=1, Small=100, Regret=2.84, Budget=1
 N = 3, Offered_price = 115.79, result=1, Small=100, Regret=3.68, Budget=1
 N = 4, Offered_price = 121.05, result=1, Small=100, Regret=4.47, Budget=1
 N = 5, Offered_price = 126.32, result=1, Small=100, Regret=5.21, Budget=1
 N = 6, Offered_price = 131.58, result=1, Small=100, Regret=5.89, Budget=1
 N = 7, Offered_price = 136.84, result=1, Small=100, Regret=6.53, Budget=1
 N = 8, Offered_price = 142.11, result=0, Small=99, Regret=7.53, Budget=1
 N = 9, Offered_price = 147.37, result=1, Small=99, Regret=8.05, Budget=1
 N = 10, Offered_price = 152.63, result=1, Small=99, Regret=8.53, Budget=1
 N = 11, Offered_price = 157.89, result=0, Small=98, Regret=9.53, Budget=1
 N = 12, Offered_price = 163.16, result=0, Small=97, Regret=10.53, Budget=1
 N = 13, Offered_price = 168.42, result=0, Small=96, Regret=11.53, Budget=1
 N = 14, Offered_price = 173.68, result=0, Small=95, Regret=12.53, Budget=1
 N = 15, Offered_price = 178.95, result=1, Small=95, Regret=12.74, Budget=1
 N = 16, Offered_price = 184.21, result=1, Small=95, Regret=12.89, Budget=1
 N = 17, Offered_price = 189.47, result=0, Small=94, Regret=13.89, Budget=1
 N = 18, Offered_price = 194.74, result=0, Small=93, Regret=14.89, Budget=1
 N = 19, Offered_price = 200.00, result=0, Small=92, Regret=15.89, Budget=1
 N = 20, Offered_price = 184.21, result=0, Small=91, Regret=16.89, Budget=1
 N = 21, Offered_price = 178.95, result=0, Small=90, Regret=17.89, Budget=1
 N = 22, Offered_price = 152.63, result=0, Small=89, Regret=18.89, Budget=1
 N = 23, Offered_price = 147.37, result=1, Small=89, Regret=19.42, Budget=1
 N = 24, Offered_price = 147.37, result=0, Small=88, Regret=20.42, Budget=1
 N = 25, Offered_price = 136.84, result=1, Small=88, Regret=21.05, Budget=1
 N = 26, Offered_price = 136.84, result=1, Small=88, Regret=21.68, Budget=1
 N = 27, Offered_price = 136.84, result=0, Small=87, Regret=22.68, Budget=1
 N = 28, Offered_price = 131.58, result=1, Small=87, Regret=23.37, Budget=1
 N = 29, Offered_price = 131.58, result=1, Small=87, Regret=24.05, Budget=1
 N = 30, Offered_price = 131.58, result=1, Small=87, Regret=24.74, Budget=1
 N = 31, Offered_price = 131.58, result=1, Small=87, Regret=25.42, Budget=1
 N = 32, Offered_price = 131.58, result=1, Small=87, Regret=26.11, Budget=1
 N = 33, Offered_price = 131.58, result=1, Small=87, Regret=26.79, Budget=1
 N = 34, Offered_price = 131.58, result=0, Small=86, Regret=27.79, Budget=1
 N = 35, Offered_price = 126.32, result=1, Small=86, Regret=28.53, Budget=1
 N = 36, Offered_price = 126.32, result=1, Small=86, Regret=29.26, Budget=1
 N = 37, Offered_price = 126.32, result=1, Small=86, Regret=30.00, Budget=1
 N = 38, Offered_price = 126.32, result=1, Small=86, Regret=30.74, Budget=1
 N = 39, Offered_price = 126.32, result=1, Small=86, Regret=31.47, Budget=1
 N = 40, Offered_price = 126.32, result=1, Small=86, Regret=32.21, Budget=1
 N = 41, Offered_price = 126.32, result=1, Small=86, Regret=32.95, Budget=1
 N = 42, Offered_price = 126.32, result=1, Small=86, Regret=33.68, Budget=1
 N = 43, Offered_price = 126.32, result=1, Small=86, Regret=34.42, Budget=1
 N = 44, Offered_price = 126.32, result=1, Small=86, Regret=35.16, Budget=1
 N = 45, Offered_price = 126.32, result=1, Small=86, Regret=35.89, Budget=1
 N = 46, Offered_price = 126.32, result=1, Small=86, Regret=36.63, Budget=1
 N = 47, Offered_price = 126.32, result=1, Small=86, Regret=37.37, Budget=1
 N = 48, Offered_price = 126.32, result=0, Small=85, Regret=38.37, Budget=1
 N = 49, Offered_price = 121.05, result=1, Small=85, Regret=39.16, Budget=1
 N = 50, Offered_price = 121.05, result=1, Small=85, Regret=39.95, Budget=1
 N = 51, Offered_price = 121.05, result=1, Small=85, Regret=40.74, Budget=1
 N = 52, Offered_price = 121.05, result=1, Small=85, Regret=41.53, Budget=1
 N = 53, Offered_price = 121.05, result=0, Small=84, Regret=42.53, Budget=1
 N = 54, Offered_price = 115.79, result=1, Small=84, Regret=43.37, Budget=1
 N = 55, Offered_price = 115.79, result=1, Small=84, Regret=44.21, Budget=1
 N = 56, Offered_price = 115.79, result=1, Small=84, Regret=45.05, Budget=1
 N = 57, Offered_price = 115.79, result=1, Small=84, Regret=45.89, Budget=1
 N = 58, Offered_price = 115.79, result=1, Small=84, Regret=46.74, Budget=1
 N = 59, Offered_price = 115.79, result=1, Small=84, Regret=47.58, Budget=1
 N = 60, Offered_price = 115.79, result=1, Small=84, Regret=48.42, Budget=1
 N = 61, Offered_price = 115.79, result=1, Small=84, Regret=49.26, Budget=1
 N = 62, Offered_price = 115.79, result=1, Small=84, Regret=50.11, Budget=1
 N = 63, Offered_price = 115.79, result=1, Small=84, Regret=50.95, Budget=1
 N = 64, Offered_price = 115.79, result=1, Small=84, Regret=51.79, Budget=1
 N = 65, Offered_price = 115.79, result=1, Small=84, Regret=52.63, Budget=1
 N = 66, Offered_price = 115.79, result=1, Small=84, Regret=53.47, Budget=1
 N = 67, Offered_price = 115.79, result=1, Small=84, Regret=54.32, Budget=1
 N = 68, Offered_price = 115.79, result=1, Small=84, Regret=55.16, Budget=1
 N = 69, Offered_price = 115.79, result=1, Small=84, Regret=56.00, Budget=1
 N = 70, Offered_price = 115.79, result=1, Small=84, Regret=56.84, Budget=1
 N = 71, Offered_price = 115.79, result=0, Small=83, Regret=57.84, Budget=1
 N = 72, Offered_price = 110.53, result=1, Small=83, Regret=58.74, Budget=1
 N = 73, Offered_price = 110.53, result=1, Small=83, Regret=59.63, Budget=1
 N = 74, Offered_price = 110.53, result=1, Small=83, Regret=60.53, Budget=1
 N = 75, Offered_price = 110.53, result=1, Small=83, Regret=61.42, Budget=1
 N = 76, Offered_price = 110.53, result=1, Small=83, Regret=62.32, Budget=1
 N = 77, Offered_price = 110.53, result=1, Small=83, Regret=63.21, Budget=1
 N = 78, Offered_price = 110.53, result=1, Small=83, Regret=64.11, Budget=1
 N = 79, Offered_price = 110.53, result=1, Small=83, Regret=65.00, Budget=1
 N = 80, Offered_price = 110.53, result=1, Small=83, Regret=65.89, Budget=1
 N = 81, Offered_price = 110.53, result=1, Small=83, Regret=66.79, Budget=1
 N = 82, Offered_price = 110.53, result=1, Small=83, Regret=67.68, Budget=1
 N = 83, Offered_price = 110.53, result=1, Small=83, Regret=68.58, Budget=1
 N = 84, Offered_price = 110.53, result=1, Small=83, Regret=69.47, Budget=1
 N = 85, Offered_price = 110.53, result=1, Small=83, Regret=70.37, Budget=1
 N = 86, Offered_price = 110.53, result=0, Small=82, Regret=71.37, Budget=1
 N = 87, Offered_price = 105.26, result=1, Small=82, Regret=72.32, Budget=1
 N = 88, Offered_price = 105.26, result=1, Small=82, Regret=73.26, Budget=1
 N = 89, Offered_price = 105.26, result=1, Small=82, Regret=74.21, Budget=1
 N = 90, Offered_price = 105.26, result=1, Small=82, Regret=75.16, Budget=1
 N = 91, Offered_price = 105.26, result=1, Small=82, Regret=76.11, Budget=1
 N = 92, Offered_price = 105.26, result=1, Small=82, Regret=77.05, Budget=1
 N = 93, Offered_price = 105.26, result=1, Small=82, Regret=78.00, Budget=1
 N = 94, Offered_price = 105.26, result=1, Small=82, Regret=78.95, Budget=1
 N = 95, Offered_price = 105.26, result=1, Small=82, Regret=79.89, Budget=1
 N = 96, Offered_price = 105.26, result=1, Small=82, Regret=80.84, Budget=1
 N = 97, Offered_price = 105.26, result=1, Small=82, Regret=81.79, Budget=1
 N = 98, Offered_price = 105.26, result=1, Small=82, Regret=82.74, Budget=1
 N = 99, Offered_price = 105.26, result=1, Small=82, Regret=83.68, Budget=1
 N = 100, Offered_price = 105.26, result=1, Small=82, Regret=84.63, Budget=1
 N = 101, Offered_price = 105.26, result=1, Small=82, Regret=85.58, Budget=1
 N = 102, Offered_price = 105.26, result=1, Small=82, Regret=86.53, Budget=1
 N = 103, Offered_price = 105.26, result=1, Small=82, Regret=87.47, Budget=1
 N = 104, Offered_price = 105.26, result=1, Small=82, Regret=88.42, Budget=1
 N = 105, Offered_price = 105.26, result=1, Small=82, Regret=89.37, Budget=1
 N = 106, Offered_price = 105.26, result=1, Small=82, Regret=90.32, Budget=1
 N = 107, Offered_price = 105.26, result=1, Small=82, Regret=91.26, Budget=1
 N = 108, Offered_price = 105.26, result=1, Small=82, Regret=92.21, Budget=1
 N = 109, Offered_price = 105.26, result=1, Small=82, Regret=93.16, Budget=1
 N = 110, Offered_price = 105.26, result=1, Small=82, Regret=94.11, Budget=1
 N = 111, Offered_price = 105.26, result=1, Small=82, Regret=95.05, Budget=1
 N = 112, Offered_price = 105.26, result=1, Small=82, Regret=96.00, Budget=1
 N = 113, Offered_price = 105.26, result=1, Small=82, Regret=96.95, Budget=1
 N = 114, Offered_price = 105.26, result=0, Small=81, Regret=97.95, Budget=1
 N = 115, Offered_price = 126.32, result=1, Small=81, Regret=98.68, Budget=1
 N = 116, Offered_price = 126.32, result=0, Small=80, Regret=99.68, Budget=1
 N = 117, Offered_price = 131.58, result=1, Small=80, Regret=100.37, Budget=1
 N = 118, Offered_price = 131.58, result=1, Small=80, Regret=101.05, Budget=1
 N = 119, Offered_price = 131.58, result=0, Small=79, Regret=102.05, Budget=1
 N = 120, Offered_price = 115.79, result=0, Small=78, Regret=103.05, Budget=1
 N = 121, Offered_price = 184.21, result=1, Small=78, Regret=103.21, Budget=1
 N = 122, Offered_price = 184.21, result=0, Small=77, Regret=104.21, Budget=1
 N = 123, Offered_price = 136.84, result=1, Small=77, Regret=104.84, Budget=1
 N = 124, Offered_price = 136.84, result=0, Small=76, Regret=105.84, Budget=1
 N = 125, Offered_price = 178.95, result=0, Small=75, Regret=106.84, Budget=1
 N = 126, Offered_price = 147.37, result=0, Small=74, Regret=107.84, Budget=1
 N = 127, Offered_price = 184.21, result=0, Small=73, Regret=108.84, Budget=1
 N = 128, Offered_price = 152.63, result=1, Small=73, Regret=109.32, Budget=1
 N = 129, Offered_price = 152.63, result=1, Small=73, Regret=109.79, Budget=1
 N = 130, Offered_price = 152.63, result=0, Small=72, Regret=110.79, Budget=1
 N = 131, Offered_price = 121.05, result=1, Small=72, Regret=111.58, Budget=1
 N = 132, Offered_price = 121.05, result=1, Small=72, Regret=112.37, Budget=1
 N = 133, Offered_price = 121.05, result=1, Small=72, Regret=113.16, Budget=1
 N = 134, Offered_price = 121.05, result=0, Small=71, Regret=114.16, Budget=1
 N = 135, Offered_price = 126.32, result=0, Small=70, Regret=115.16, Budget=1
 N = 136, Offered_price = 131.58, result=1, Small=70, Regret=115.84, Budget=1
 N = 137, Offered_price = 131.58, result=1, Small=70, Regret=116.53, Budget=1
 N = 138, Offered_price = 131.58, result=0, Small=69, Regret=117.53, Budget=1
 N = 139, Offered_price = 152.63, result=1, Small=69, Regret=118.00, Budget=1
 N = 140, Offered_price = 152.63, result=1, Small=69, Regret=118.47, Budget=1
 N = 141, Offered_price = 152.63, result=0, Small=68, Regret=119.47, Budget=1
 N = 142, Offered_price = 178.95, result=0, Small=67, Regret=120.47, Budget=1
 N = 143, Offered_price = 142.11, result=0, Small=66, Regret=121.47, Budget=1
 N = 144, Offered_price = 157.89, result=0, Small=65, Regret=122.47, Budget=1
 N = 145, Offered_price = 163.16, result=1, Small=65, Regret=122.84, Budget=1
 N = 146, Offered_price = 163.16, result=1, Small=65, Regret=123.21, Budget=1
 N = 147, Offered_price = 163.16, result=0, Small=64, Regret=124.21, Budget=1
 N = 148, Offered_price = 163.16, result=0, Small=63, Regret=125.21, Budget=1
 N = 149, Offered_price = 168.42, result=0, Small=62, Regret=126.21, Budget=1
 N = 150, Offered_price = 173.68, result=0, Small=61, Regret=127.21, Budget=1
 N = 151, Offered_price = 189.47, result=0, Small=60, Regret=128.21, Budget=1
 N = 152, Offered_price = 194.74, result=0, Small=59, Regret=129.21, Budget=1
 N = 153, Offered_price = 200.00, result=0, Small=58, Regret=130.21, Budget=1
 N = 154, Offered_price = 136.84, result=0, Small=57, Regret=131.21, Budget=1
 N = 155, Offered_price = 110.53, result=0, Small=56, Regret=132.21, Budget=1
 N = 156, Offered_price = 147.37, result=0, Small=55, Regret=133.21, Budget=1
 N = 157, Offered_price = 152.63, result=0, Small=54, Regret=134.21, Budget=1
