 N = 0, Offered_price = 100.00, result=1, Small=100, Regret=1.00
 N = 1, Offered_price = 105.26, result=1, Small=100, Regret=1.95
 N = 2, Offered_price = 110.53, result=1, Small=100, Regret=2.84
 N = 3, Offered_price = 115.79, result=1, Small=100, Regret=3.68
 N = 4, Offered_price = 121.05, result=1, Small=100, Regret=4.47
 N = 5, Offered_price = 126.32, result=1, Small=100, Regret=5.21
 N = 6, Offered_price = 131.58, result=1, Small=100, Regret=5.89
 N = 7, Offered_price = 136.84, result=1, Small=100, Regret=6.53
 N = 8, Offered_price = 142.11, result=0, Small=99, Regret=7.53
 N = 9, Offered_price = 147.37, result=1, Small=99, Regret=8.05
 N = 10, Offered_price = 152.63, result=1, Small=99, Regret=8.53
 N = 11, Offered_price = 157.89, result=0, Small=98, Regret=9.53
 N = 12, Offered_price = 163.16, result=0, Small=97, Regret=10.53
 N = 13, Offered_price = 168.42, result=0, Small=96, Regret=11.53
 N = 14, Offered_price = 173.68, result=0, Small=95, Regret=12.53
 N = 15, Offered_price = 178.95, result=1, Small=95, Regret=12.74
 N = 16, Offered_price = 184.21, result=1, Small=95, Regret=12.89
 N = 17, Offered_price = 189.47, result=0, Small=94, Regret=13.89
 N = 18, Offered_price = 194.74, result=0, Small=93, Regret=14.89
 N = 19, Offered_price = 200.00, result=0, Small=92, Regret=15.89
 N = 20, Offered_price = 100.00, result=1, Small=92, Regret=16.89
 N = 21, Offered_price = 105.26, result=0, Small=91, Regret=17.89
 N = 22, Offered_price = 110.53, result=1, Small=91, Regret=18.79
 N = 23, Offered_price = 115.79, result=1, Small=91, Regret=19.63
 N = 24, Offered_price = 121.05, result=1, Small=91, Regret=20.42
 N = 25, Offered_price = 126.32, result=1, Small=91, Regret=21.16
 N = 26, Offered_price = 131.58, result=1, Small=91, Regret=21.84
 N = 27, Offered_price = 136.84, result=0, Small=90, Regret=22.84
 N = 28, Offered_price = 142.11, result=1, Small=90, Regret=23.42
 N = 29, Offered_price = 147.37, result=1, Small=90, Regret=23.95
 N = 30, Offered_price = 152.63, result=0, Small=89, Regret=24.95
 N = 31, Offered_price = 157.89, result=0, Small=88, Regret=25.95
 N = 32, Offered_price = 163.16, result=1, Small=88, Regret=26.32
 N = 33, Offered_price = 168.42, result=1, Small=88, Regret=26.63
 N = 34, Offered_price = 173.68, result=0, Small=87, Regret=27.63
 N = 35, Offered_price = 178.95, result=0, Small=86, Regret=28.63
 N = 36, Offered_price = 184.21, result=0, Small=85, Regret=29.63
 N = 37, Offered_price = 189.47, result=0, Small=84, Regret=30.63
 N = 38, Offered_price = 194.74, result=0, Small=83, Regret=31.63
 N = 39, Offered_price = 200.00, result=0, Small=82, Regret=32.63
 N = 40, Offered_price = 100.00, result=1, Small=82, Regret=33.63
 N = 41, Offered_price = 110.53, result=1, Small=82, Regret=34.53
 N = 42, Offered_price = 115.79, result=1, Small=82, Regret=35.37
 N = 43, Offered_price = 121.05, result=1, Small=82, Regret=36.16
 N = 44, Offered_price = 126.32, result=1, Small=82, Regret=36.89
 N = 45, Offered_price = 131.58, result=1, Small=82, Regret=37.58
 N = 46, Offered_price = 147.37, result=1, Small=82, Regret=38.11
 N = 47, Offered_price = 157.89, result=0, Small=81, Regret=39.11
 N = 48, Offered_price = 173.68, result=0, Small=80, Regret=40.11
 N = 49, Offered_price = 189.47, result=0, Small=79, Regret=41.11
 N = 50, Offered_price = 194.74, result=0, Small=78, Regret=42.11
 N = 51, Offered_price = 200.00, result=0, Small=77, Regret=43.11
 N = 52, Offered_price = 100.00, result=1, Small=77, Regret=44.11
 N = 53, Offered_price = 110.53, result=1, Small=77, Regret=45.00
 N = 54, Offered_price = 115.79, result=1, Small=77, Regret=45.84
 N = 55, Offered_price = 121.05, result=1, Small=77, Regret=46.63
 N = 56, Offered_price = 126.32, result=1, Small=77, Regret=47.37
 N = 57, Offered_price = 131.58, result=1, Small=77, Regret=48.05
 N = 58, Offered_price = 147.37, result=1, Small=77, Regret=48.58
 N = 59, Offered_price = 157.89, result=0, Small=76, Regret=49.58
 N = 60, Offered_price = 173.68, result=0, Small=75, Regret=50.58
 N = 61, Offered_price = 189.47, result=1, Small=75, Regret=50.68
 N = 62, Offered_price = 194.74, result=0, Small=74, Regret=51.68
 N = 63, Offered_price = 200.00, result=0, Small=73, Regret=52.68
 N = 64, Offered_price = 105.26, result=1, Small=73, Regret=53.63
 N = 65, Offered_price = 136.84, result=1, Small=73, Regret=54.26
 N = 66, Offered_price = 142.11, result=1, Small=73, Regret=54.84
 N = 67, Offered_price = 152.63, result=1, Small=73, Regret=55.32
 N = 68, Offered_price = 163.16, result=0, Small=72, Regret=56.32
 N = 69, Offered_price = 168.42, result=1, Small=72, Regret=56.63
