cost_type:  cups_gone
revenue_type:  profit
Small Cup : 100 // 50
Large Cup : 120 // 60
norm_min = min(-cost_l + pho_s, pho_l - cost_l, pho_s - cost_s)
norm_max = max(-cost_l + pho_s, pho_l - cost_l, pho_s - cost_s)
Starting out with Budget =  500
 N = 1, Offered_price = 100.00, result=1, Small=500, 
 N = 2, Offered_price = 101.05, result=1, Small=500, 
 N = 3, Offered_price = 102.11, result=0, Small=499, 
 N = 4, Offered_price = 103.16, result=0, Small=498, 
 N = 5, Offered_price = 104.21, result=1, Small=498, 
 N = 6, Offered_price = 105.26, result=0, Small=497, 
 N = 7, Offered_price = 106.32, result=1, Small=497, 
 N = 8, Offered_price = 107.37, result=0, Small=496, 
 N = 9, Offered_price = 108.42, result=0, Small=495, 
 N = 10, Offered_price = 109.47, result=1, Small=495, 
 N = 11, Offered_price = 110.53, result=1, Small=495, 
 N = 12, Offered_price = 111.58, result=0, Small=494, 
 N = 13, Offered_price = 112.63, result=0, Small=493, 
 N = 14, Offered_price = 113.68, result=0, Small=492, 
 N = 15, Offered_price = 114.74, result=0, Small=491, 
 N = 16, Offered_price = 115.79, result=1, Small=491, 
 N = 17, Offered_price = 116.84, result=0, Small=490, 
 N = 18, Offered_price = 117.89, result=0, Small=489, 
 N = 19, Offered_price = 118.95, result=0, Small=488, 
 N = 20, Offered_price = 120.00, result=0, Small=487, 
 N = 21, Offered_price = 115.79, result=0, Small=486, 
 N = 22, Offered_price = 110.53, result=0, Small=485, 
 N = 23, Offered_price = 109.47, result=0, Small=484, 
 N = 24, Offered_price = 106.32, result=1, Small=484, 
 N = 25, Offered_price = 106.32, result=0, Small=483, 
 N = 26, Offered_price = 104.21, result=1, Small=483, 
 N = 27, Offered_price = 104.21, result=1, Small=483, 
 N = 28, Offered_price = 104.21, result=0, Small=482, 
 N = 29, Offered_price = 101.05, result=1, Small=482, 
 N = 30, Offered_price = 101.05, result=1, Small=482, 
 N = 31, Offered_price = 101.05, result=1, Small=482, 
 N = 32, Offered_price = 101.05, result=1, Small=482, 
 N = 33, Offered_price = 101.05, result=1, Small=482, 
 N = 34, Offered_price = 101.05, result=1, Small=482, 
 N = 35, Offered_price = 101.05, result=1, Small=482, 
 N = 36, Offered_price = 101.05, result=1, Small=482, 
 N = 37, Offered_price = 101.05, result=1, Small=482, 
 N = 38, Offered_price = 101.05, result=1, Small=482, 
 N = 39, Offered_price = 101.05, result=1, Small=482, 
 N = 40, Offered_price = 101.05, result=1, Small=482, 
 N = 41, Offered_price = 101.05, result=1, Small=482, 
 N = 42, Offered_price = 101.05, result=1, Small=482, 
 N = 43, Offered_price = 101.05, result=1, Small=482, 
 N = 44, Offered_price = 101.05, result=1, Small=482, 
 N = 45, Offered_price = 101.05, result=1, Small=482, 
 N = 46, Offered_price = 101.05, result=1, Small=482, 
 N = 47, Offered_price = 101.05, result=1, Small=482, 
 N = 48, Offered_price = 101.05, result=1, Small=482, 
 N = 49, Offered_price = 101.05, result=1, Small=482, 
 N = 50, Offered_price = 101.05, result=1, Small=482, 
 N = 51, Offered_price = 101.05, result=1, Small=482, 
 N = 52, Offered_price = 101.05, result=1, Small=482, 
 N = 53, Offered_price = 101.05, result=1, Small=482, 
 N = 54, Offered_price = 101.05, result=1, Small=482, 
 N = 55, Offered_price = 101.05, result=1, Small=482, 
 N = 56, Offered_price = 101.05, result=1, Small=482, 
 N = 57, Offered_price = 101.05, result=1, Small=482, 
 N = 58, Offered_price = 101.05, result=1, Small=482, 
 N = 59, Offered_price = 101.05, result=1, Small=482, 
 N = 60, Offered_price = 101.05, result=1, Small=482, 
 N = 61, Offered_price = 101.05, result=1, Small=482, 
 N = 62, Offered_price = 101.05, result=1, Small=482, 
 N = 63, Offered_price = 101.05, result=1, Small=482, 
 N = 64, Offered_price = 101.05, result=1, Small=482, 
 N = 65, Offered_price = 101.05, result=1, Small=482, 
 N = 66, Offered_price = 101.05, result=1, Small=482, 
 N = 67, Offered_price = 101.05, result=1, Small=482, 
 N = 68, Offered_price = 101.05, result=1, Small=482, 
 N = 69, Offered_price = 101.05, result=1, Small=482, 
 N = 70, Offered_price = 101.05, result=1, Small=482, 
 N = 71, Offered_price = 101.05, result=1, Small=482, 
 N = 72, Offered_price = 101.05, result=0, Small=481, 
 N = 73, Offered_price = 115.79, result=0, Small=480, 
 N = 74, Offered_price = 110.53, result=0, Small=479, 
 N = 75, Offered_price = 106.32, result=1, Small=479, 
 N = 76, Offered_price = 106.32, result=0, Small=478, 
 N = 77, Offered_price = 109.47, result=0, Small=477, 
 N = 78, Offered_price = 104.21, result=1, Small=477, 
 N = 79, Offered_price = 104.21, result=1, Small=477, 
 N = 80, Offered_price = 104.21, result=1, Small=477, 
 N = 81, Offered_price = 104.21, result=1, Small=477, 
 N = 82, Offered_price = 104.21, result=1, Small=477, 
 N = 83, Offered_price = 104.21, result=1, Small=477, 
 N = 84, Offered_price = 104.21, result=1, Small=477, 
 N = 85, Offered_price = 104.21, result=1, Small=477, 
 N = 86, Offered_price = 104.21, result=1, Small=477, 
 N = 87, Offered_price = 104.21, result=0, Small=476, 
 N = 88, Offered_price = 115.79, result=0, Small=475, 
 N = 89, Offered_price = 102.11, result=1, Small=475, 
 N = 90, Offered_price = 103.16, result=1, Small=475, 
 N = 91, Offered_price = 105.26, result=0, Small=474, 
