Small Cup : 100 // 50
Large Cup : 105 // 60
Starting out with Budget =  100
 N = 1, Offered_price = 100.00, result=1, Small=100, 
 N = 2, Offered_price = 100.26, result=1, Small=100, 
 N = 3, Offered_price = 100.53, result=1, Small=100, 
 N = 4, Offered_price = 100.79, result=1, Small=100, 
 N = 5, Offered_price = 101.05, result=1, Small=100, 
 N = 6, Offered_price = 101.32, result=1, Small=100, 
 N = 7, Offered_price = 101.58, result=1, Small=100, 
 N = 8, Offered_price = 101.84, result=1, Small=100, 
 N = 9, Offered_price = 102.11, result=0, Small=99, 
 N = 10, Offered_price = 102.37, result=1, Small=99, 
 N = 11, Offered_price = 102.63, result=1, Small=99, 
 N = 12, Offered_price = 102.89, result=0, Small=98, 
 N = 13, Offered_price = 103.16, result=0, Small=97, 
 N = 14, Offered_price = 103.42, result=0, Small=96, 
 N = 15, Offered_price = 103.68, result=0, Small=95, 
 N = 16, Offered_price = 103.95, result=1, Small=95, 
 N = 17, Offered_price = 104.21, result=1, Small=95, 
 N = 18, Offered_price = 104.47, result=0, Small=94, 
 N = 19, Offered_price = 104.74, result=0, Small=93, 
 N = 20, Offered_price = 105.00, result=0, Small=92, 
 N = 21, Offered_price = 104.21, result=0, Small=91, 
 N = 22, Offered_price = 103.95, result=0, Small=90, 
 N = 23, Offered_price = 102.63, result=0, Small=89, 
 N = 24, Offered_price = 102.37, result=1, Small=89, 
 N = 25, Offered_price = 102.37, result=0, Small=88, 
 N = 26, Offered_price = 101.84, result=1, Small=88, 
 N = 27, Offered_price = 101.84, result=1, Small=88, 
 N = 28, Offered_price = 101.84, result=0, Small=87, 
 N = 29, Offered_price = 101.58, result=1, Small=87, 
 N = 30, Offered_price = 101.58, result=1, Small=87, 
 N = 31, Offered_price = 101.58, result=1, Small=87, 
 N = 32, Offered_price = 101.58, result=1, Small=87, 
 N = 33, Offered_price = 101.58, result=1, Small=87, 
 N = 34, Offered_price = 101.58, result=1, Small=87, 
 N = 35, Offered_price = 101.58, result=0, Small=86, 
 N = 36, Offered_price = 101.32, result=1, Small=86, 
 N = 37, Offered_price = 101.32, result=1, Small=86, 
 N = 38, Offered_price = 101.32, result=1, Small=86, 
 N = 39, Offered_price = 101.32, result=1, Small=86, 
 N = 40, Offered_price = 101.32, result=1, Small=86, 
 N = 41, Offered_price = 101.32, result=1, Small=86, 
 N = 42, Offered_price = 101.32, result=1, Small=86, 
 N = 43, Offered_price = 101.32, result=1, Small=86, 
 N = 44, Offered_price = 101.32, result=1, Small=86, 
 N = 45, Offered_price = 101.32, result=1, Small=86, 
 N = 46, Offered_price = 101.32, result=1, Small=86, 
 N = 47, Offered_price = 101.32, result=1, Small=86, 
 N = 48, Offered_price = 101.32, result=1, Small=86, 
 N = 49, Offered_price = 101.32, result=0, Small=85, 
 N = 50, Offered_price = 101.05, result=1, Small=85, 
 N = 51, Offered_price = 101.05, result=1, Small=85, 
 N = 52, Offered_price = 101.05, result=1, Small=85, 
 N = 53, Offered_price = 101.05, result=1, Small=85, 
 N = 54, Offered_price = 101.05, result=0, Small=84, 
 N = 55, Offered_price = 100.79, result=1, Small=84, 
 N = 56, Offered_price = 100.79, result=1, Small=84, 
 N = 57, Offered_price = 100.79, result=1, Small=84, 
 N = 58, Offered_price = 100.79, result=1, Small=84, 
 N = 59, Offered_price = 100.79, result=1, Small=84, 
 N = 60, Offered_price = 100.79, result=1, Small=84, 
 N = 61, Offered_price = 100.79, result=1, Small=84, 
 N = 62, Offered_price = 100.79, result=1, Small=84, 
 N = 63, Offered_price = 100.79, result=1, Small=84, 
 N = 64, Offered_price = 100.79, result=1, Small=84, 
 N = 65, Offered_price = 100.79, result=1, Small=84, 
 N = 66, Offered_price = 100.79, result=1, Small=84, 
 N = 67, Offered_price = 100.79, result=1, Small=84, 
 N = 68, Offered_price = 100.79, result=1, Small=84, 
 N = 69, Offered_price = 100.79, result=1, Small=84, 
 N = 70, Offered_price = 100.79, result=1, Small=84, 
 N = 71, Offered_price = 100.79, result=1, Small=84, 
 N = 72, Offered_price = 100.79, result=0, Small=83, 
 N = 73, Offered_price = 100.53, result=1, Small=83, 
 N = 74, Offered_price = 100.53, result=1, Small=83, 
 N = 75, Offered_price = 100.53, result=1, Small=83, 
 N = 76, Offered_price = 100.53, result=1, Small=83, 
 N = 77, Offered_price = 100.53, result=1, Small=83, 
 N = 78, Offered_price = 100.53, result=1, Small=83, 
 N = 79, Offered_price = 100.53, result=1, Small=83, 
 N = 80, Offered_price = 100.53, result=1, Small=83, 
 N = 81, Offered_price = 100.53, result=1, Small=83, 
 N = 82, Offered_price = 100.53, result=1, Small=83, 
 N = 83, Offered_price = 100.53, result=1, Small=83, 
 N = 84, Offered_price = 100.53, result=1, Small=83, 
 N = 85, Offered_price = 100.53, result=1, Small=83, 
 N = 86, Offered_price = 100.53, result=1, Small=83, 
 N = 87, Offered_price = 100.53, result=0, Small=82, 
 N = 88, Offered_price = 100.26, result=1, Small=82, 
 N = 89, Offered_price = 100.26, result=1, Small=82, 
 N = 90, Offered_price = 100.26, result=1, Small=82, 
 N = 91, Offered_price = 100.26, result=1, Small=82, 
 N = 92, Offered_price = 100.26, result=1, Small=82, 
 N = 93, Offered_price = 100.26, result=1, Small=82, 
 N = 94, Offered_price = 100.26, result=1, Small=82, 
 N = 95, Offered_price = 100.26, result=1, Small=82, 
 N = 96, Offered_price = 100.26, result=1, Small=82, 
 N = 97, Offered_price = 100.26, result=1, Small=82, 
 N = 98, Offered_price = 100.26, result=1, Small=82, 
 N = 99, Offered_price = 100.26, result=1, Small=82, 
 N = 100, Offered_price = 100.26, result=1, Small=82, 
 N = 101, Offered_price = 100.26, result=1, Small=82, 
 N = 102, Offered_price = 100.26, result=1, Small=82, 
 N = 103, Offered_price = 100.26, result=1, Small=82, 
 N = 104, Offered_price = 100.26, result=1, Small=82, 
 N = 105, Offered_price = 100.26, result=1, Small=82, 
 N = 106, Offered_price = 100.26, result=1, Small=82, 
 N = 107, Offered_price = 100.26, result=1, Small=82, 
 N = 108, Offered_price = 100.26, result=1, Small=82, 
 N = 109, Offered_price = 100.26, result=1, Small=82, 
 N = 110, Offered_price = 100.26, result=1, Small=82, 
 N = 111, Offered_price = 100.26, result=1, Small=82, 
 N = 112, Offered_price = 100.26, result=1, Small=82, 
 N = 113, Offered_price = 100.26, result=1, Small=82, 
 N = 114, Offered_price = 100.26, result=1, Small=82, 
 N = 115, Offered_price = 100.26, result=0, Small=81, 
 N = 116, Offered_price = 101.32, result=1, Small=81, 
 N = 117, Offered_price = 101.32, result=0, Small=80, 
 N = 118, Offered_price = 101.58, result=1, Small=80, 
 N = 119, Offered_price = 101.58, result=1, Small=80, 
 N = 120, Offered_price = 101.58, result=0, Small=79, 
 N = 121, Offered_price = 104.21, result=0, Small=78, 
 N = 122, Offered_price = 103.95, result=1, Small=78, 
